RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,17825117,Customer_0,618,France,Male,45,0,78500.56,2,0,0,68599.67,0
2,18201666,Customer_1,518,Spain,Female,39,8,0.0,2,1,1,153030.31,0
3,16827718,Customer_2,744,Germany,Female,33,5,149058.4,2,1,1,71898.43,0
4,17930950,Customer_3,770,Germany,Female,30,0,71805.59,2,1,1,92142.28,1
5,11491074,Customer_4,665,France,Male,79,2,235123.65,1,1,0,181959.36,0
6,17173276,Customer_5,637,France,Female,60,0,0.0,1,0,1,197082.17,1
7,13021189,Customer_6,778,France,Female,49,1,183884.62,2,1,0,153868.47,0
8,16928304,Customer_7,839,Spain,Male,84,5,0.0,2,1,0,55623.9,0
9,16599104,Customer_8,623,Germany,Male,74,6,192444.99,2,0,0,56197.76,0
10,16111925,Customer_9,698,Germany,Male,82,0,0.0,2,0,1,67810.53,1
11,13366585,Customer_10,556,France,Male,86,9,0.0,2,1,1,40505.49,0
12,12999406,Customer_11,497,Spain,Female,66,4,210571.54,4,1,0,43978.18,0
13,11123928,Customer_12,649,Spain,Male,50,5,45212.03,2,0,1,58638.03,1
14,10485413,Customer_13,769,France,Female,36,3,0.0,2,1,1,135378.39,0
15,16171720,Customer_14,802,France,Male,53,5,0.0,1,1,0,126369.16,0
16,12838091,Customer_15,837,France,Male,87,4,48563.82,1,0,0,74771.33,0
17,19075722,Customer_16,386,France,Female,32,6,0.0,1,1,0,47366.83,0
18,18506169,Customer_17,510,Germany,Female,41,3,0.0,2,0,1,128564.16,0
19,10348578,Customer_18,815,France,Female,44,0,0.0,1,1,1,34865.97,1
20,10034347,Customer_19,732,France,Male,66,1,37842.25,2,1,0,37786.81,0
21,16006456,Customer_20,624,Germany,Male,40,5,0.0,3,1,0,82839.69,0
22,10831380,Customer_21,784,France,Female,50,9,156743.89,2,0,0,117800.33,0
23,17891580,Customer_22,637,France,Female,58,1,69048.57,2,1,1,148374.87,1
24,10199579,Customer_23,455,France,Male,73,4,56842.11,1,0,0,140526.26,1
25,13914502,Customer_24,371,France,Female,46,3,0.0,1,0,1,81905.85,0
26,16871902,Customer_25,582,Spain,Female,48,6,182657.65,1,0,0,134383.94,0
27,11290064,Customer_26,471,France,Male,82,3,79829.27,2,0,1,50155.9,0
28,19840215,Customer_27,478,Germany,Female,35,6,69489.82,1,1,0,103811.55,0
29,11477839,Customer_28,659,Germany,Male,23,7,5620.27,1,1,0,126902.81,0
30,18207883,Customer_29,566,France,Male,69,6,0.0,2,1,0,151437.11,0
31,15501696,Customer_30,497,Germany,Male,57,1,188176.04,1,0,1,25121.94,0
32,11633009,Customer_31,407,France,Female,82,0,0.0,2,1,0,29216.84,0
33,14138488,Customer_32,768,France,Female,59,4,235731.73,2,0,0,24031.98,0
34,13500914,Customer_33,586,Spain,Female,85,6,73383.05,2,0,0,113829.12,0
35,10300385,Customer_34,419,Spain,Female,49,0,0.0,4,1,0,118310.39,0
